macro_theme_slug,macro_theme_label,enabled,default_cadence_days,priority
actualites-and-medias,Actualités & Médias,1,7,normal
entreprise-and-formation,Entreprise & Formation,1,7,normal
sante-bien-etre-beaute,Santé / Bien-être / Beauté,1,7,normal
maison-deco-jardin,Maison / Déco / Jardin,1,7,normal
high-tech-informatique-web,High-Tech / Informatique / Web,1,7,normal
voyage-local,Voyage / Local,1,7,normal
mode-shopping-e-commerce,Mode / Shopping / E-commerce,1,7,normal
sport-loisirs-jeux,Sport / Loisirs / Jeux,1,7,normal
travaux-and-btp,Travaux & BTP,1,7,normal
finance-assurance-credit,Finance / Assurance / Crédit,1,7,normal
nature-animaux-ecologie,Nature / Animaux / Écologie,1,7,normal
auto-transport,Auto / Transport,1,7,normal
relations-adulte-esoterisme,Relations / Adulte / Ésotérisme,1,7,normal
immobilier,Immobilier,1,7,normal
gastronomie,Gastronomie,1,7,normal
famille,Famille,1,7,normal
inclassable,Inclassable,1,7,normal
