theme_slug,theme_label,macro_theme_slug,macro_theme_label
actualites-generaliste,Actualités (généraliste),actualites-and-medias,Actualités & Médias
animaux,Animaux,nature-animaux-ecologie,Nature / Animaux / Écologie
assurance,Assurance,finance-assurance-credit,Finance / Assurance / Crédit
auto-and-moto,Auto & Moto,auto-transport,Auto / Transport
banque,Banque,finance-assurance-credit,Finance / Assurance / Crédit
beaute,Beauté,sante-bien-etre-beaute,Santé / Bien-être / Beauté
bien-etre,Bien-Être,sante-bien-etre-beaute,Santé / Bien-être / Beauté
bio,Bio,nature-animaux-ecologie,Nature / Animaux / Écologie
bricolage,Bricolage,travaux-and-btp,Travaux & BTP
bebe,Bébé,famille,Famille
cadeaux,Cadeaux,mode-shopping-e-commerce,Mode / Shopping / E-commerce
cinema,Cinéma,actualites-and-medias,Actualités & Médias
credits,Crédits,finance-assurance-credit,Finance / Assurance / Crédit
decoration,Décoration,maison-deco-jardin,Maison / Déco / Jardin
e-commerce,E-commerce,mode-shopping-e-commerce,Mode / Shopping / E-commerce
enseignement-and-formation,Enseignement & Formation,entreprise-and-formation,Entreprise & Formation
entreprise,Entreprise,entreprise-and-formation,Entreprise & Formation
environnement,Environnement,nature-animaux-ecologie,Nature / Animaux / Écologie
finance,Finance,finance-assurance-credit,Finance / Assurance / Crédit
finance-and-assurance,Finance & Assurance,finance-assurance-credit,Finance / Assurance / Crédit
gastronomie,Gastronomie,gastronomie,Gastronomie
high-tech,High-Tech,high-tech-informatique-web,High-Tech / Informatique / Web
immobilier,Immobilier,immobilier,Immobilier
inclassable,Inclassable,inclassable,Inclassable
informatique,Informatique,high-tech-informatique-web,High-Tech / Informatique / Web
jardin,Jardin,maison-deco-jardin,Maison / Déco / Jardin
jeux,Jeux,sport-loisirs-jeux,Sport / Loisirs / Jeux
jeux-d-argent,Jeux d'argent,sport-loisirs-jeux,Sport / Loisirs / Jeux
litterature,Littérature,actualites-and-medias,Actualités & Médias
maison,Maison,maison-deco-jardin,Maison / Déco / Jardin
maman,Maman,famille,Famille
mariage,Mariage,famille,Famille
mode,Mode,mode-shopping-e-commerce,Mode / Shopping / E-commerce
musique,Musique,actualites-and-medias,Actualités & Médias
nature,Nature,nature-animaux-ecologie,Nature / Animaux / Écologie
photographie,Photographie,actualites-and-medias,Actualités & Médias
plan-cul,Plan cul,relations-adulte-esoterisme,Relations / Adulte / Ésotérisme
plombier,Plombier,travaux-and-btp,Travaux & BTP
rencontre,Rencontre,relations-adulte-esoterisme,Relations / Adulte / Ésotérisme
sante,Santé,sante-bien-etre-beaute,Santé / Bien-être / Beauté
serrurier,Serrurier,travaux-and-btp,Travaux & BTP
societe,Société,actualites-and-medias,Actualités & Médias
sport,Sport,sport-loisirs-jeux,Sport / Loisirs / Jeux
sport-and-loisirs,Sport & Loisirs,sport-loisirs-jeux,Sport / Loisirs / Jeux
senior,Sénior,sante-bien-etre-beaute,Santé / Bien-être / Beauté
tchat-dial-and-webcam,"Tchat, Dial & Webcam",relations-adulte-esoterisme,Relations / Adulte / Ésotérisme
transport-and-vehicules,Transport & Véhicules,auto-transport,Auto / Transport
travaux-et-batiment,Travaux et Batiment,travaux-and-btp,Travaux & BTP
telephone-and-smartphone,Téléphone & Smartphone,high-tech-informatique-web,High-Tech / Informatique / Web
villes-and-villages,Villes & Villages,voyage-local,Voyage / Local
vitrier,Vitrier,travaux-and-btp,Travaux & BTP
voyage-and-tourisme,Voyage & Tourisme,voyage-local,Voyage / Local
voyance,Voyance,relations-adulte-esoterisme,Relations / Adulte / Ésotérisme
webmasters,Webmasters,high-tech-informatique-web,High-Tech / Informatique / Web
x-adulte-uniquement,X (Adulte uniquement),relations-adulte-esoterisme,Relations / Adulte / Ésotérisme
ecologie,Écologie,nature-animaux-ecologie,Nature / Animaux / Écologie
evenement,Événement,actualites-and-medias,Actualités & Médias
